# ==== Vocabulary ====
the 30550
shoulder piece 1
new conceived 1
gre ye yed 1
round faced 1
six and thirty 1
char ging staff 1
far ces 1
down a 2
ger ald o 1
em ili as 1
pro ser pine 1
nose gay 1
me then 1
bar ley break 1
places uch 1
fry ing 1
cur sing o 1
le pr ous 1
su ing 2
pen north 1
pre ordain ed 1
vag ary 1
fr is kins 1
play fer es 1
falsehood s 1
strong hearted 1
dove like 1
all feared 1
limit er 1
also to 1
brim med 1
pre warn 1
un ear thed 1
mas oned 1
gir ths 2
stream er 1
cl ang ing 1
corre ctor 1
sha ker 1
oer rank 1
heal st 1
auspicious ly 1
boldly let 1
bl end 2
fier cest 1
eye glance 1
skip ped 1
add st 1
none would 1
ken ned 1
mother si 1
bri ded 1
sc rew ed 1
glo by 1
rejo ic er 1
fl utter 1
nin ety 1
reign st 1
business let 1
aband on er 1
wind fan ned 1
allow st 1
scur ri le 1
bride habit ed 1
maiden hearted 1
un sentence d 1
pret end ers 1
un plucked 1
tw ang 1
dis char gest 1
mystery i 1
ho a 1
flesh you 1
ip so 1
fa c to 1
host ler 1
coz ens 1
o ates 1
lis ps 1
mill ers 1
stool ball 1
ind ic ates 1
pen ci led 1
cast ing 4
vis aged 1
men ac ing 1
ar cites 4
pal am ons 2
mis becoming ly 1
spoil ing 1
cry s 1
best boding 1
tit lers 1
one o 1
dis par ity 1
ex ul ting 1
comb ats 1
half sights 1
rich ness 1
cost liness 1
drift winds 1
qu aking 2
un settled fairest 1
arbit ra ment 1
philo me ls 1
out breast ed 1
win ner wear 1
won for 1
sorrow arm 1
her hippolyta 1
un w ap per ed 1
certain st 1
all ah 1
offer ers 1
quickly noble 1
hair worth 1
allowance on 1
cal kins 1
hoo ves 1
made for 1
origin what 1
scho old o ing 1
pig like 1
wh ines 1
j ad ry 1
d if fring 1
plun ges 1
dis root 1
flo ats 1
un broken 1
bliss ful 1
ar rose 1
justice bear 1
subt ler 1
charm ers 1
here and 1
other any 1
fin is 2
leontes 148
ou ter 2
bohemia 30
paul in as 3
mamillius 21
camillo 124
sic ili an 7
antigonus 33
cleomenes 18
dion 12
florizel 60
archidamus 9
perdita 42
autolycus 76
jud ic at ure 1
hermione 62
paulina 83
mopsa 18
dorcas 15
sat y r s 2
shepherdess es 2
magn ific ence in 1
rare i 1
un intell igent 1
in suffic ience 1
over kind 1
child hood s 1
mul ti ply 1
seven ight 1
gain saying 1
bohem ias 2
by gone 2
dis taff s 1
gest 1
parting yet 1
lim ber 1
un sphere 1
ill doing 1
tempt ations 1
purpose when 1
sour d 1
ear nd 1
tre mor 1
cord is 1
joy not 1
heart iness 1
fe cks 1
sm ut chd 1
neat still 1
virgin all ing 1
palm how 1
me yet 1
oer dy d 1
bla cks 1
fix es 1
dam may t 1
communic at st 1
dream show 1
co active 1
fellow st 1
co join 1
hard en ing 1
twenty three 2
un breech d 1
ju lys 1
child ness 1
ro ver 1
b ents 1
ne b 1
inch thick 1
for kd 1
slu ic d 1
no th ow 1
round ing 1
sof or th 1
las th ow 1
chamber counsels 1
cle ans d 1
incl inst 1
ho x es 1
wilful negligent 1
indu stri ously 1
non performance 1
eye glass 1
cog it ation 1
impudent ly 1
neg ative 1
fla x wench 1
justify t 1
stand er by 1
re iter ate 1
si g ha 1
honesty hors ing 1
sk ul king 1
ho ver ing 2
tempor iz er 1
med al 1
thrif ts 1
cup bearer whom 1
bench d 1
galled mightst 1
bes p ice 1
sovereign ly 1
go ads 1
cup bearer 1
be ver age 1
split tst 1
break neck 1
waf ting 1
sight ed 1
clerk like 1
adorn s 1
gentle i 1
imprison t 1
inc id ency 1
se ent 1
forbid den ly 1
p ild 1
po stern s 3
ill taen 1
end uring 1
sem ic ir cle 1
eye brows 2
he f ts 1
pre employd 1
nay ward 1
without door 1
use o 1
itself these 1
sh ru gs 1
re pl en ishd 1
distinguish ment 1
fed er ary 1
beds wer ver 1
vul gars 1
bold st 1
char ities 2
you i 1
pe aces 1
land damn 1
honour flaw d 1
gener ations 3
co heirs 1
force ful 1
im parts 1
st up ified 1
ord ring 2
cam ill os 2
del phos 3
cred ul ity 1
colour ing 1
honey mouth d 1
red lookd 1
show t 1
enfranch isd 1
being part 1
plot proof 1
droop d 1
langu ishd 1
hea ving s such 1
med cin al 1
honour trust 1
your si 1
intellig en cing 1
ent it ling 1
woman t ird 1
un ro ost ed 1
cr one 1
un vener able 1
call at 1
dim ples 1
lo sel 1
weak h ing d 1
set st 1
life for 1
lewd tong ud 1
hast ing 2
cli mates 1
sur passing 1
wear ers 1
un earthly 1
ear deaf ning 1
queen o 1
arraign ed 1
conspir ing 1
contra dict s 1
der iv ative 4
hard end 1
dish d 1
wot ting 1
under taen 1
own ing 1
eas iest 1
first fru its 1
star rd 1
ha ld 1
flat ness 1
seald up 1
oer chargd 1
profan eness 1
t ard ied 1
o ils 1
fool er ies 1
betray dst 1
ble m ishd 2
las to 1
woe the 1
queen lo 1
blu sters 1
throw er out 1
squ ard 2
wrong ing 1
fighting hark 1
brow sing 1
ba ir n 2
st air work 1
trunk work 1
behind door work 1
ha llo ed 1
who a ho ho a 1
h illo a 1
loa 1
a il st 1
bod kins 1
bor ing 1
main mast 1
y est 1
shoulder bone 1
fla p drag ond 1
wink ed 1
find ings 1
unt ried 1
self born 1
ancient st 1
oer ween 1
so which 1
punish es 1
missing ly 1
removed ness 1
daff od ils 2
do x y 1
pu gging 1
t ir r al ir ra 1
thr ush 1
so ws kin 1
sn ap per up 1
le ven 1
to d 1
sheep shear ing 5
curr ants 1
rice what 1
shear ers 2
song men 1
bass es 1
horn pipes 1
ward en 1
nut me gs 1
ra is ins 1
horse mans 1
tro ll my dames 1
ape bearer 1
process ser ver 1
ba ili ff 1
pri g 2
bear bait ings 1
good faced 1
un rolled 1
jo g 2
st ile a 1
mile a 1
flor a 1
pr ank d 1
fla unt s 1
hum bling 1
ble ated 1
fir er ob d 1
transform ations 1
wel com d 1
hostess ship 1
shear ing 1
car nations 1
g illy v ors 2
p ied ness 1
di bble 1
la v ender 1
m int s 1
sav ory 1
pro serp ina 1
dis s 1
cy there as 1
past or als 1
dor icles 4
low born 1
gre ens ward 1
gaz d 1
loves ong s 1
di ld os 1
f ad ings 1
stretch mouthed 1
slight s 1
un bra ided 1
ink les 1
cad dis ses 1
cam bri cs 1
lawn s 1
she angel 1
sleeve hand 1
fore warn 1
ped l ars 3
bu g le brace let 1
neck lace 1
quo if s 1
de ars 1
po king sticks 1
lass es 1
mil king time 1
tit t let at tling 1
ta wd ry 1
a life 1
car bon ado ed 1
mid wifes 1
tale porter 1
ta pe 2
dear a 1
new st 1
wear a 1
ware a 1
swine her ds 1
sal ti ers 1
bow ling 1
rust ic s 2
mart ed 1
stra ited 1
ethio pi ans 1
st up id 1
rheum s 1
am pl er 1
un fi li al 1
discover ing 1
sheep hook 1
her ds man 1
l atch es 1
sho vels 1
g le and 1
more cast 1
ir re mo v able 1
dis junction 1
discontent ing 1
un thought on 1
un path d 1
und re am d 1
prosperity s 1
want one 1
pom ander 1
horn ring 1
petti to es 1
who o bu b 1
now why 1
instantly thou 1
int and 1
un buckle 2
mistress let 1
you you 1
swee the arts 1
dis liken 1
un des cried 1
requ is ite 1
con n ive 1
far del 7
en fold ings 1
cour to d our 1
court contempt 1
to a ze 1
capa pe 1
ad vo cates 1
court word 1
phe as ant 2
sheep whist ling 1
ram tender 1
st oned 1
a qua vit 1
traitor ly 1
st ond 1
bo o ties 1
cour ted 1
heir less 1
un parall eld 1
look ers on 1
royalty s 1
success or 1
soul vex ed 1
marry if 1
them es he 1
equ all d 1
ebb d 1
forgot your 1
pro se ly tes 1
pa ird 1
un furnish 1
twenty one 1
princess goddess 1
folly the 1
so more 1
gentleman the 1
behind hand 1
slack ness 1
sm al us 1
south wind 1
hast ning in 1
couple meets 1
quit ted 1
weather s 2
lo ws 1
un answerd 1
behold er 1
ro ger o 1
herm ion es 1
ev id ences 1
wor ries 1
cli pping 1
weather bit ten 1
la mes 1
a ided 1
ele v ated 1
angled 1
attent i ven ess 1
paulina a 1
juli o 1
roman o 1
over fond 1
continu ing 1
remain ed 2
find er out 1
dis cred its 1
bo ors 1
vouch sa f d 1
singular ities 1
un draws 1
car vers 1
you for 1
ch ise l 1
ru d d iness 1
look er 1
num b ness 1
ped est al 1
ex ult ation 1
mind to 1
dis sever d 1
re word ed 1
plaint ful 1
s is tring 1
t attend 1
accord ed 1
sad t und 1
stor ming 1
plat ted 1
scy thed 1
laun dr ing 1
un distingu ishd 1
thor bed 1
comm ix d 1
plat 1
unt u ckd 1
shea vd 1
bra ided 2
ma und 1
be aded 1
po si ed 1
affected ly 1
ens w ath d 1
f lux ive 1
un approved 1
gra zed 1
blu ster er 1
fast ly 1
sel fa pp lied 1
out wards 1
de ified 1
brown y 1
hur ls 1
sa wn 1
un sh orn 1
term less 1
out bragg d 1
maid ent ong ued 1
author iz d 1
well doing 1
habit u de 1
we eper 1
sex es 1
di alo gued 1
mans ions 1
new bleeding 1
dest ind 1
by passd 1
for bode 1
act ure 1
tribut es 1
pall id 1
en crimson d 1
en camp d 1
am or ously 1
em ple ach d 1
weeping ly 1
anne x ions 1
deep bra ind 1
in visd 1
em er ald 1
heaven hu ed 1
blaz ond 1
pen si vd 1
ender 1
o bl ations 1
em patron 1
phra seless 1
ho liest 1
ma string 2
plan ing 1
scape th 1
con gest 1
tas sail 1
consecr ations 1
impress est 1
sweet ens 1
alo es 1
supp lic ant 1
strong bond ed 1
g laz d 1
en closes 2
ex tinct ure 1
daff d 2
d if fr ence 1
pl en itude 1
ca ut els 1
swoon ing 1
all hur ting 1
heart wishd 1
thun exper ient 1
ho ver d 1
lover d 1
glow d 1
fore betrayed 1
ni b bler 1
adon 2
w ist ly 3
boun cd 1
bright er 1
co ined 1
protest ings 1
jest ings 1
flame th 1
out bur neth 1
at urn ing 2
dow land 1
sp en ser 1
be takes 1
ad ons 2
young ster 1
deep wounded 1
v aded 4
sha ded 1
left st 2
un la ced 1
fet ched 1
skip s 1
va deth 1
ever s 1
love less 1
x vi 1
x vii 1
am is 1
jig s 1
fir me ly 1
fraught ed 1
res ound 1
fare wel 1
cor y don 1
x viii 1
st all d 1
guil es 1
enough too 1
much i 1
x ix 1
d ales 1
cra gg y 1
x x 1
myr tles 1
up till 1
dole full st 1
pit ty 2
tere u 2
pand ion 1
command ement 1
loud est 1
pre curr er 1
augur 1
inter dict 1
obsequ y 1
def un ct ive 1
death div ining 1
tre bled ated 1
distinct s 1
concord ant 1
thr ene 1
co supre mes 1
thr en os 1
w ri othe sle y 2
tit ch field 2
p am ph let 1
tarqu inius 3
super bus 1
ser vius 1
t ull ius 1
ar dea 3
collat inus 8
lucre ti a 2
spin ning 1
lucre ces 1
collat ium 3
ste ale th 2
speed eth 1
collatine 22
inve ct ive 1
ac clamation 1
trust less 1
lust breathed 1
light less 2
collat ines 3
un happ ly 1
bate less 1
un locked 1
price less 1
for tressed 1
need eth 1
apo log ies 1
so v reign ty 1
high pit ched 1
su peri ors 1
all too timeless 1
still gazing 1
suspect eth 1
ple ats 1
pine th 1
par ling 1
secre cies 1
mar gent s 1
hea ved up 2
word less 1
sto ws 1
resol ving 1
weak built 1
gain ing 2
poor rich 1
vent ring 2
pawn ing 1
self trust 1
death boding 1
fe are th 1
sm ite th 1
light eth 1
lo dest ar 1
pre medit ate 1
still slaughtered 1
excell eth 1
engra ven 1
sur vi ving 2
ever during 1
coward like 1
quit tal 1
hot burning 2
ro cked 1
ple ade th 1
dre ade th 1
lea deth 2
un res isted 1
heart ens 1
night wandring 1
wea sel s 1
ex tingu ish ing 1
in ured 1
forbid d ings 1
constr ues 1
sne ap ed 1
in come 1
un fruitful 1
ab sol ution 1
wicked ly 1
fiery pointed 1
refle ct s 1
da zz leth 1
dark some 1
re posed 1
holy thought ed 1
coz ning 1
pear ly 1
th reads 1
glo bes 1
sla ked 1
effect ing 2
ravish ment 2
delight ing 1
must ring 1
cabin et 2
locked up 1
new killed 1
quick shif ting 1
daunt s 1
urge th 2
never conquered 1
ens nar ed 1
cou cheth 1
bl ur red 1
un acted 1
compa cted 1
pu ri f ied 1
birth hours 1
rouse th 1
div iding 1
night waking 1
pant eth 1
grant eth 1
hard en 1
pity pleading 1
wrack threatning 1
wound st 1
back st 1
long living 1
transgress ions 1
death worthy 1
in fam ies 1
reli er 1
mis gover ning 1
pud dles 1
despite fully 1
en to mbs 1
chast est 1
pu ri f y 1
ri fled 2
full fed 1
surfeit taking 1
sour ing 2
abomin ation 2
self will 1
fault ful 1
fores ight 1
hea leth 1
sco wls 1
exclaim ing 1
comfort killing 1
sin conceal ing 1
de fame 3
closet ong ued 1
dam ps 1
silver shining 1
co partners 1
season ing 1
all hiding 1
im modesty 1
sepulch red 1
feast finding 1
tun ing 1
crest wounding 1
mot 1
dr one like 1
break ers 1
im purity 1
poll ute 2
still pin ing 1
tant al us 2
cursed blessed 1
ill anne x ed 1
execut st 1
spurn st 1
blow st 1
smother st 1
murder st 1
a bet tor 1
plant est 1
dis pla cest 1
sport ing 1
ap paid 1
access ory 1
co pes mate 1
nur s est 1
murdr est 1
en cha ined 1
never ending 1
anti qu ities 1
increase ful 1
cro ps 1
work st 1
ce a seless 1
tr ances 1
hard ned 1
un re calling 1
taught st 1
un perceived 1
arbit rat ors 1
skill contending 1
de bat ers 1
un cheerful 1
qui ver st 1
bet um bled 1
start eth 1
impart eth 1
van is heth 1
t na 1
now o 1
clean ly co ined 1
slu ices 2
mountain spring 1
g ush 1
cloister ed 1
reveal ing 1
pry st 1
ca vil s 1
un practised 1
pl ung ing 1
deep dr enched 1
rene ws 1
hollow swelling 1
dis he ve led 1
di ap as on 1
burden wise 1
desc ants 1
determin ing 1
reproach s 1
over see 1
over seen 1
hoar se ly 1
fleet winged 1
clou de clip sed 1
over washed 1
mo is ten ed 1
sal tw ave d 1
c ister ns 1
sm arts 1
cham pa ign 1
rough grown 1
cave keeping 1
inve igh 1
hi ld 1
weak made 1
went and 1
gro ant ar qu in 1
say one 1
curious good 1
greet eth 1
un certainly 1
ho ards 1
sour faced 1
deem s 1
stead fast 1
worn out 1
re pl en ish 1
pa using 1
cloud kissing 1
ree ked 1
g lea med 1
p ion eer 1
beg ri med 1
lo op holes 1
inter la ces 1
phys io g no my 1
cipher ed 1
en cour ag ing 1
wag ged 1
pur led 1
lean ed 1
bo ll n 1
nest ors 1
strong besie ged 1
re ed y 1
dwell ed 1
heavy hanging 1
pen si ven ess 1
ens conce d 1
false creeping 1
hell born 1
well skill ed 1
rich built 1
so bers ad 1
we ts 1
over sli pped 1
de tri ment 1
ease th 1
mind ful 1
te ard is tain ed 1
stre amed 1
rain bows 1
water galls 1
sad beholding 1
pur lo ined 1
yield ings 1
new waxen 1
awake th 1
len deth 1
sla keth 1
feeling painful 1
bewray ed 1
low declined 1
brea things 1
self slaughtered 1
l ates a cked 1
vast ly 1
lucre ti us 3
un lived 1
pre decease 1
bare bon ed 1
sh iver ed 1
fal tring 1
ba thes 2
heart eas ing 1
fo ll ys 1
ut tring 1
lon gh id 1
lon ge x per ience d 1
in voc ations 1
pla us i bly 1
vi lia 1
mi ret ur 1
vul g us 1
fla v us 1
po cu la 1
cast a lia 1
pl ena 1
min ist ret 1
dedic ating 1
purple colourd 1
rose cheek d 1
sick thought ed 1
bold facd 1
saddle bow 1
time beguil ing 1
p out ed 1
fast en so 1
push d 1
breathe th 2
ste am 1
de wd 1
distill ing 1
a wd 1
l ours 1
dive d ap per 1
flin thearted 1
un askd 1
over ruld 1
over sway d 1
strong temperd 1
blue ve ind 1
ill nur tur d 1
thick sight ed 1
dis he vell d 1
re ject ed 1
sa pp y 1
grow ths 1
breed eth 2
sp right 1
dis liking 1
oer whel ming 1
relent eth 1
torment eth 1
content ing 1
intend ments 1
fond ling 1
h illo cks 1
dim ple 1
hollow s 1
p its 1
twin ing 1
haste th 2
cop se 1
j en net 1
tram ping 1
snor ts 1
strong neck d 1
brea keth 3
cr us heth 1
up prickd 1
rec keth 1
ca parisons 1
sur pass 1
lim ning 1
well proportion d 1
round hoof d 1
short joint ed 1
sha g 1
sc ud s 1
perce i ving 1
assu agd 1
go eth 1
out stri pping 1
over fly 1
swell eth 1
cli ent 1
fl ash d 1
heave th 1
tend r er 1
chorus like 1
eng ir ts 1
ab ill ing 1
ser vilely 1
th ong 1
enfranch ising 1
bur d end 1
wax eth 1
un yielding 1
flat try 1
still it ory 1
double lock 1
ru by colourd 1
be to k end 1
se am an 1
herd men 1
mar keth 1
bar keth 1
revive th 1
re cures 1
thrive th 1
pul ses 1
up heave th 1
relieve th 1
gl or ifies 1
ill um ind 1
star gaz ers 1
wax red 1
non payment 1
glutton like 1
fill eth 1
insu l ter 1
plant ing 1
fleet foot 1
still d 1
d and ling 1
res is teth 1
lis teth 1
tem pring 1
pale facd 1
prick les 1
yo king 1
sin keth 1
langu is heth 1
tus hes 2
whet teth 1
bow back 1
br ist les 1
suggest eth 1
dis tem pring 1
bate breeding 1
th imagination 1
sub til ty 1
well breathd 1
over shoot 1
doub les 1
mus its 1
earth del ving 1
con ies 1
sor teth 1
devise th 1
sc ents n uff ing 1
ce as ing 1
dew bed ab bled 1
indent ing 1
bri ar 1
tri ps 1
for ging 1
de feature 1
life poison ing 1
frenz ies 1
mar ro we ating 1
im posthum es 1
th impart ial 1
love lacking 1
ree ves 1
can k ring 1
over hand led 1
black facd 1
be witch ing 1
comfor teth 1
sho o teth 1
un a ware 2
st on ishd 1
out wore 1
shrill tong ud 1
coast eth 1
wreath d 1
sh ud der 1
cour tsy 1
cold pale 1
num bs 1
fro thy 1
be painted 1
mur ther 1
unt reads 1
ken ne ld 1
li cking 1
sco wling 1
ill res ound ing 1
fla p mouth d 1
vo ll eys 1
grim grin ning 1
hate fully 1
cle a ves 1
pluck st 1
va ild 1
vie wd 1
hard believing 1
un wea ves 1
cle pes 1
shadow truth 1
wre akd 1
un wit nes sed 1
beth inking 1
unfortunate ly 1
she lly 1
trench d 1
fl ank 2
note th 1
frantic ly 1
stead fast ly 1
repreh ends 1
lur kd 1
g ills 1
ri per ed 1
ur chins n out ed 1
loo keth 1
n u zz ling 1
tus k 1
coffer lids 1
excell d 1
oer stra wd 1
com bust ious 1
chequer d 1
news pr ung 1
gre end ro pping 1
compar es 1
sweet smell ing 1
im mure 1
ed itions 4
re place 1
pre vious 1
one the 1
ren amed 1
copyright 19
copy ing 4
distributing 7
electronic 27
concept 2
trademark 13
comp lying 3
res ear ch 2
e books 7
mod ified 1
away you 1
pract ic ally 1
re distribution 2
com mer cial 1
mission 4
pro mo ting 2
a va i la ble 2
wwwgutenbergorg license 1
se ction 7
re distributing 2
ind ic ate 1
trademark copyright 1
refund 10
ent ity 3
paragraph 11
literary 13
archive 13
p gla f 1
comp il ation 1
do main 2
un protected 1
dis playing 4
ba sed 2
refer ences 2
compli ance 5
form at 4
down load ing 1
re present ations 1
stat us 4
prom in ent ly 2
ac ces sed 1
t ex ts 1
hold er 4
prov iding 4
require ments 4
paragraph s 3
addition al 3
un link 1
de ta ch 1
re distribute 1
bin ary 1
com pressed 1
non pro pri et ary 1
pro pri et ary 1
process ing 1
hyper text 1
van ill a 2
asc ii 2
vers ion 1
we bs ite 4
ex port ing 1
alter n ate 1
spe c ified 2
cal cul ated 1
appli cable 3
don ate 3
le gall y 1
period ic 1
donations 15
not ifies 1
e ma il 3
medi um 5
accord ance 2
f 11
re place ment 5
gr ou p 1
conta ct 3
vol un te ers 5
emplo ye es 1
consider able 2
ef fort 2
ident ify 1
tran scri be 1
proof read 1
ef fort s 3
in complete 1
in ac cur ate 1
dat a 1
tran scri ption 1
infring ement 1
da ma ged 1
dis k 1
com put er 2
vir us 1
co des 1
equ ip ment 3
disclaim er 3
da ma ges 4
li ability 3
distribut or 1
consequ ent ial 1
pun itive 1
inc ident al 1
ex plan ation 2
electronic ally 2
pro ble m 1
as is 1
imp lied 2
merchant ability 1
disclaim ers 1
ex clus ion 1
ma x im um 1
in vali d ity 1
un enforce ability 1
pro visions 1
in dem n ity 1
in dem n ify 1
emplo ye e 1
produ ction 1
oc cur 1
mod ific ation 1
de let ions 1
sy non y m ous 1
form ats 1
read able 1
wi dest 2
com put ers 2
ob so lete 1
middle aged 1
fin anci al 1
guten ber gs 1
go als 1
ens uring 1
se ctions 1
non profit 1
education al 1
cor por ation 1
organ ized 1
miss is si pp i 1
inter nal 1
e in 1
fed eral 2
ident ific ation 1
con tribut ions 2
ded u ct ible 1
wwwgutenbergorg conta ct 1
wi desp read 1
lic ensed 1
mach in ere ad able 1
out d ated 1
maintain ing 1
ir s 1
reg ul ating 1
un i form 1
paper work 1
lo c ations 1
wwwgutenbergorg don ate 2
accept ing 1
don ors 1
inter nation al 1
grate fully 1
state ments 1
treat ment 1
sw amp 1
profess or 1
origin ator 1
net work 1
vol un te er 1
p g 1
news letter 1

# ==== Merge Rules ====
t h
a n
e r
o u
i n
th e
o r
e n
i s
a r
e s
o n
an d
a t
l l
t o
s t
y ou
m e
n o
o f
h a
s e
i t
l e
h e
r e
in g
b e
w i
w h
v e
a s
r o
c h
f or
m y
c e
e d
th at
i r
a y
l d
u s
l i
w e
en t
a l
u t
no t
l o
d e
er e
g h
wi th
s o
r i
k e
d o
i m
c o
g o
u n
ou r
th ou
m a
you r
h is
r a
h o
th is
l a
a ll
th er
b ut
gh t
e t
es s
l y
u r
ha ve
es t
h im
v er
h er
wi ll
i d
o d
a m
or d
no w
i ll
c k
s ha
p e
ar e
f e
m an
ou ld
wh at
g e
a d
f a
n e
s u
th y
ar d
i on
an t
on e
p o
i f
b y
p r
en d
ar t
a in
c t
k ing
c on
t er
sha ll
t r
s h
q u
c a
le t
l ord
m or
e x
u p
i l
the e
m o
in e
ro m
b o
i o
w n
ou n
we ll
co m
s he
co me
go od
s ir
wh i
er s
t e
i ght
ho w
t a
in d
m u
f rom
se l
ou t
wh o
the y
ou s
th ere
s a
s c
the n
w or
w as
p er
v en
ent er
mor e
lo ve
b le
w ould
f o
a g
th an
c an
p ro
on g
whi ch
w o
r y
i e
u e
k now
u m
h ere
se e
m ar
the ir
i ve
wh en
the m
e p
li ke
s ay
at e
t i
u l
a k
sel f
en ce
o w
i us
en e
i c
d u
s pe
ha th
v es
m en
g re
d is
d id
m ay
o k
wh ere
for e
an ce
p a
up on
so me
in k
a f
w ere
y et
th ing
sh ould
b r
u re
w ay
b er
a th
ma ke
oun d
s p
t is
ar s
as s
mu st
p le
v i
is h
b a
ha d
o ther
d er
un t
sc ene
u se
d i
f ir
n or
the se
ro w
wh y
s er
ver y
g l
su ch
h on
d es
m is
g ive
of f
o l
f ri
it y
l u
s we
s i
g ent
y e
mo st
d y
ag ain
a p
b ro
to o
he art
w ord
st r
ta ke
th ink
spe ak
g ra
fir st
h and
go d
in ce
b lo
w er
d ay
h i
st er
an s
m on
j o
n a
e m
j u
gent le
m ine
w ard
l es
ti me
lo ok
te ll
b re
an y
an g
a u
ur n
n ess
is e
qu e
t y
p art
c oun
he a
gre at
fa ir
ex e
i i
a b
fa ther
e l
w ar
a ch
f r
ll ow
or t
fri end
n ight
l ess
m er
ne ver
du ke
ri ch
f ul
at ion
o p
ha st
que en
p la
he ar
mu ch
ha m
exe unt
it e
a ge
m ent
p t
do th
y es
be t
w r
l and
la dy
re t
ex it
c i
hon our
l t
f al
i ce
a ve
s on
l ay
de ath
blo od
swe et
st and
a st
c all
be fore
for t
li e
pr ay
i re
g u
ma d
i g
ar m
c lo
in t
re ad
e ar
li fe
p ri
hea ven
o wn
c he
t le
c our
i a
a way
ant on
ma de
or n
ho ld
g r
t ra
ou l
tr u
i an
ro s
a ce
i p
ou gh
o m
i es
tr ue
fe ar
b u
ma ster
re e
p ar
a c
v ing
se t
an ge
o se
i ck
th us
a ct
o ld
re d
ne w
t ri
l ong
r u
ou se
k es
pr ince
